timestamp,src_ip,dst_ip,src_port,dst_port,protocol,flags,bytes
2026-06-15T03:05:01,221.226.13.45,10.0.0.10,51001,21,TCP,S,60
2026-06-15T03:05:01,221.226.13.45,10.0.0.10,51002,22,TCP,S,60
2026-06-15T03:05:01,221.226.13.45,10.0.0.10,51003,23,TCP,S,60
2026-06-15T03:05:01,221.226.13.45,10.0.0.10,51004,25,TCP,S,60
2026-06-15T03:05:02,221.226.13.45,10.0.0.10,51005,53,TCP,S,60
2026-06-15T03:05:02,221.226.13.45,10.0.0.10,51006,80,TCP,S,60
2026-06-15T03:05:02,221.226.13.45,10.0.0.10,51007,110,TCP,S,60
2026-06-15T03:05:02,221.226.13.45,10.0.0.10,51008,135,TCP,S,60
2026-06-15T03:05:02,221.226.13.45,10.0.0.10,51009,139,TCP,S,60
2026-06-15T03:05:03,221.226.13.45,10.0.0.10,51010,143,TCP,S,60
2026-06-15T03:05:03,221.226.13.45,10.0.0.10,51011,443,TCP,S,60
2026-06-15T03:05:03,221.226.13.45,10.0.0.10,51012,445,TCP,S,60
2026-06-15T03:05:03,221.226.13.45,10.0.0.10,51013,1433,TCP,S,60
2026-06-15T03:05:03,221.226.13.45,10.0.0.10,51014,1521,TCP,S,60
2026-06-15T03:05:04,221.226.13.45,10.0.0.10,51015,3306,TCP,S,60
2026-06-15T03:05:04,221.226.13.45,10.0.0.10,51016,3389,TCP,S,60
2026-06-15T03:05:04,221.226.13.45,10.0.0.10,51017,5432,TCP,S,60
2026-06-15T03:05:04,221.226.13.45,10.0.0.10,51018,5900,TCP,S,60
2026-06-15T03:05:05,221.226.13.45,10.0.0.10,51019,6379,TCP,S,60
2026-06-15T03:05:05,221.226.13.45,10.0.0.10,51020,8080,TCP,S,60
2026-06-15T03:05:05,221.226.13.45,10.0.0.10,51021,8443,TCP,S,60
2026-06-15T03:05:05,221.226.13.45,10.0.0.10,51022,9200,TCP,S,60
2026-06-15T03:05:06,221.226.13.45,10.0.0.10,51023,11211,TCP,S,60
2026-06-15T03:05:06,221.226.13.45,10.0.0.10,51024,27017,TCP,S,60
2026-06-15T03:06:00,59.110.23.88,10.0.0.10,44210,443,TCP,PA,512
